date,YR,MTH,DAY,DIR,SPD,TEMPc,DEWPc,RelHUM,SD,PRCP,Mean Daily Max 8-hr Ozone Concentration,Total_Count,Tcount_abvMedian,GBTpredict2014,GBTacc,color0,color1
2014-04-05,2014,4,5,216.07142857142856,14.607142857142858,8.194444444444445,1.8253968253968251,68.1547619047619,0.0,0.0,0.037000000000000005,298.0,1,1,True,#9f9f9f,#f00
2014-04-06,2014,4,6,307.5,9.571428571428571,7.599206349206349,-5.932539682539683,32.341269841269835,0.0,0.0,0.0425,321.0,1,1,True,#909090,#f00
2014-04-07,2014,4,7,117.24137931034485,5.344827586206896,7.7394636015325675,1.091954022988506,66.76245210727967,0.0,0.52,0.0345,419.0,1,1,True,#4d4d4d,#f00
2014-04-08,2014,4,8,175.86206896551724,10.0,12.183908045977011,7.854406130268201,78.35249042145597,0.0,0.34,0.03875000000000002,328.0,1,1,True,#8b8b8b,#f00
2014-04-09,2014,4,9,386.4285714285714,13.142857142857142,12.063492063492065,-0.9126984126984128,35.11904761904762,0.0,0.0,0.04275,367.0,1,0,False,#707070,#00f
2014-04-10,2014,4,10,284.0,9.466666666666667,11.129629629629626,-4.462962962962964,22.03703703703703,0.0,0.0,0.0435,301.0,1,1,True,#9d9d9d,#f00
2014-04-11,2014,4,11,277.85714285714283,10.714285714285714,16.587301587301592,3.3134920634920637,33.63095238095238,0.0,0.0,0.043,263.0,0,1,False,#b7b7b7,#f00
2014-04-12,2014,4,12,270.3448275862069,6.931034482758621,16.49425287356322,4.865900383141762,41.858237547892735,0.0,0.0,0.04775,271.0,1,1,True,#b1b1b1,#f00
2014-04-13,2014,4,13,204.28571428571428,8.607142857142858,17.63888888888889,6.666666666666668,45.13888888888889,0.0,0.0,0.046250000000000006,289.0,1,0,False,#a5a5a5,#00f
2014-04-14,2014,4,14,191.42857142857144,15.035714285714285,20.91269841269841,12.202380952380947,56.4484126984127,0.0,0.0,0.033,311.0,1,1,True,#969696,#f00
2014-04-15,2014,4,15,220.32258064516128,14.258064516129036,17.186379928315414,14.103942652329748,84.58781362007171,0.0,0.71,0.03066666666666666,305.0,1,1,True,#9a9a9a,#f00
2014-04-16,2014,4,16,348.62068965517244,16.275862068965516,4.061302681992337,-5.363984674329502,52.8735632183908,0.0,0.05,0.038000000000000006,264.0,0,0,True,#b6b6b6,#00f
2014-04-17,2014,4,17,152.5,10.178571428571429,5.07936507936508,-5.0198412698412715,49.503968253968246,0.0,0.0,0.041,291.0,1,1,True,#a4a4a4,#f00
2014-04-18,2014,4,18,187.14285714285717,6.107142857142858,5.3769841269841265,-1.6666666666666663,64.78174603174604,0.0,0.0,0.033,287.0,1,1,True,#a7a7a7,#f00
2014-04-19,2014,4,19,265.0,7.571428571428571,10.912698412698417,-1.3888888888888893,38.49206349206347,0.0,0.0,0.0495,243.0,0,1,False,#c4c4c4,#f00
2014-04-20,2014,4,20,148.21428571428572,10.25,10.93253968253968,-3.0753968253968247,29.960317460317462,0.0,0.0,0.044750000000000005,260.0,0,1,False,#b9b9b9,#f00
2014-04-21,2014,4,21,146.07142857142858,4.321428571428571,10.07936507936508,-1.369047619047619,42.757936507936506,0.0,0.0,0.0325,314.0,1,1,True,#949494,#f00
2014-04-22,2014,4,22,254.64285714285717,8.035714285714286,14.920634920634926,7.242063492063488,61.60714285714287,0.0,0.01,0.03475,253.0,0,1,False,#bebebe,#f00
2014-04-23,2014,4,23,314.64285714285717,17.857142857142858,13.869047619047615,4.087301587301589,51.091269841269856,0.0,0.0,0.035250000000000004,283.0,1,1,True,#a9a9a9,#f00
2014-04-24,2014,4,24,320.0,19.892857142857142,10.674603174603174,-7.480158730158732,9.226190476190482,0.0,0.0,0.047,270.0,1,1,True,#b2b2b2,#f00
2014-04-25,2014,4,25,196.66666666666663,8.866666666666667,11.518518518518515,-6.055555555555558,12.129629629629624,0.0,0.02,0.038,288.0,1,1,True,#a6a6a6,#f00
2014-04-26,2014,4,26,163.66666666666666,8.333333333333334,11.870370370370367,5.925925925925927,70.27777777777779,0.0,0.92,0.04175,220.0,0,1,False,#d4d4d4,#f00
2014-04-27,2014,4,27,315.7142857142857,12.607142857142858,11.468253968253968,2.1031746031746037,53.17460317460318,0.0,0.0,0.035,234.0,0,1,False,#cacaca,#f00
2014-04-28,2014,4,28,403.9285714285714,8.535714285714286,12.519841269841269,0.7341269841269842,41.071428571428584,0.0,0.0,0.045500000000000006,284.0,1,0,False,#a9a9a9,#00f
2014-04-29,2014,4,29,114.64285714285714,11.714285714285715,9.940476190476193,3.65079365079365,68.55158730158729,0.0,0.03,0.0335,282.0,1,1,True,#aaa,#f00
2014-04-30,2014,4,30,64.13793103448276,11.172413793103447,7.643678160919544,5.881226053639848,91.18773946360149,0.0,4.97,0.031,217.0,0,1,False,#d6d6d6,#f00
2014-05-01,2014,5,1,192.85714285714286,8.071428571428571,17.559523809523807,12.996031746031747,77.18253968253967,0.0,0.12,0.035,272.0,1,1,True,#b1b1b1,#f00
2014-05-02,2014,5,2,336.42857142857144,11.928571428571427,18.19444444444445,5.912698412698412,38.59126984126985,0.0,0.0,0.044500000000000005,241.0,0,0,True,#c6c6c6,#00f
2014-05-03,2014,5,3,267.9310344827586,8.448275862068966,15.93869731800766,3.67816091954023,38.69731800766285,0.0,0.08,0.04025,251.0,0,1,False,#bfbfbf,#f00
2014-05-04,2014,5,4,233.92857142857144,14.607142857142858,14.444444444444445,5.138888888888887,53.47222222222222,0.0,0.02,0.0395,289.0,1,1,True,#a5a5a5,#f00
2014-05-05,2014,5,5,333.92857142857144,15.321428571428573,15.09920634920635,-1.4087301587301588,17.460317460317462,0.0,0.0,0.03875,410.0,1,1,True,#535353,#f00
2014-05-06,2014,5,6,318.2142857142857,9.714285714285714,15.992063492063492,-2.380952380952382,8.134920634920636,0.0,0.0,0.04,402.0,1,1,True,#595959,#f00
2014-05-07,2014,5,7,260.35714285714283,8.75,15.138888888888884,-1.1507936507936514,18.5515873015873,0.0,0.0,0.037000000000000005,479.0,1,1,True,#252525,#f00
2014-05-08,2014,5,8,181.07142857142856,5.642857142857142,13.452380952380958,9.94047619047619,82.44047619047616,0.0,0.41,0.036000000000000004,435.0,1,1,True,#424242,#f00
2014-05-09,2014,5,9,132.0,5.166666666666667,14.648148148148145,13.111111111111116,92.31481481481478,0.0,0.04,0.027000000000000003,338.0,1,1,True,#848484,#f00
2014-05-10,2014,5,10,181.78571428571428,7.392857142857142,18.63095238095238,15.615079365079366,84.92063492063494,0.0,0.37,0.04225,280.0,1,1,True,#ababab,#f00
2014-05-11,2014,5,11,340.35714285714283,10.964285714285712,21.50793650793651,9.206349206349204,38.492063492063494,0.0,0.03,0.054000000000000006,314.0,1,0,False,#949494,#00f
2014-05-12,2014,5,12,302.5,5.857142857142858,22.79761904761905,10.595238095238091,38.98809523809523,0.0,0.0,0.04275,509.0,1,0,False,#101010,#00f
2014-05-13,2014,5,13,199.28571428571428,8.107142857142858,19.880952380952387,11.051587301587302,55.853174603174594,0.0,0.0,0.03466666666666667,462.0,1,1,True,#303030,#f00
2014-05-14,2014,5,14,261.7857142857143,6.357142857142858,13.888888888888884,9.246031746031745,76.78571428571429,0.0,0.01,0.02475,474.0,1,1,True,#282828,#f00
2014-05-15,2014,5,15,160.71428571428572,5.357142857142857,17.738095238095234,16.36904761904762,93.15476190476193,0.0,0.15,0.03075,435.0,1,1,True,#424242,#f00
