Date,Borough,Total Count ,Count (Age group 0 - 4) ,Count (Age group 5 - 17) ,Count (Age group 18 - 64) ,Count (Age group 65+) 
02/19/06,Brooklyn,94,22,18,50,4
02/19/06,Manhattan,57,12,12,31,2
02/19/06,Queens,21,3,5,12,1
02/19/06,Staten Island,8,1,0,4,3
02/19/06,Unknown,8,2,2,4,0
02/20/06,Bronx,82,13,15,49,5
02/20/06,Brooklyn,110,13,29,62,6
02/20/06,Manhattan,65,13,11,38,3
02/20/06,Queens,42,9,11,17,5
02/20/06,Staten Island,4,1,0,1,2
02/20/06,Unknown,12,2,3,7,0
02/21/06,Bronx,102,19,19,59,5
02/21/06,Brooklyn,89,20,18,44,7
02/21/06,Manhattan,54,6,15,29,4
02/21/06,Queens,38,9,4,19,6
02/21/06,Staten Island,7,3,1,1,2
02/21/06,Unknown,6,2,0,3,1
02/22/06,Bronx,82,15,24,33,10
02/22/06,Brooklyn,107,25,26,47,9
02/22/06,Manhattan,49,12,7,28,2
02/22/06,Queens,25,9,3,10,3
02/22/06,Staten Island,14,1,1,10,2
02/22/06,Unknown,13,0,1,12,0
02/23/06,Bronx,73,11,17,38,7
02/23/06,Brooklyn,88,22,24,35,7
02/23/06,Manhattan,37,8,6,20,3
02/23/06,Queens,23,5,4,10,4
02/23/06,Staten Island,9,1,2,4,2
02/23/06,Unknown,8,1,3,4,0
02/24/06,Bronx,58,14,12,30,2
02/24/06,Brooklyn,84,18,18,43,5
02/24/06,Manhattan,37,6,10,19,2
02/24/06,Queens,28,4,3,19,2
02/24/06,Staten Island,12,0,2,10,0
02/24/06,Unknown,4,1,0,3,0
02/25/06,Bronx,51,13,13,19,6
02/25/06,Brooklyn,81,27,10,41,3
02/25/06,Manhattan,45,7,4,28,6
02/25/06,Queens,27,7,4,13,3
02/25/06,Staten Island,5,0,0,3,2
02/25/06,Unknown,4,1,1,2,0
02/26/06,Bronx,74,19,11,38,6
02/26/06,Brooklyn,71,20,12,34,5
02/26/06,Manhattan,53,14,8,29,2
02/26/06,Queens,24,4,6,11,3
02/26/06,Staten Island,9,1,0,4,4
02/26/06,Unknown,7,0,2,4,1
02/27/06,Bronx,74,12,10,40,12
02/27/06,Brooklyn,113,21,17,71,4
02/27/06,Manhattan,75,9,15,44,7
02/27/06,Queens,22,2,6,13,1
02/27/06,Staten Island,10,0,0,6,4
02/27/06,Unknown,4,0,2,2,0
02/28/06,Bronx,51,9,10,25,7
02/28/06,Brooklyn,101,23,22,52,4
02/28/06,Manhattan,52,6,10,30,6
02/28/06,Queens,27,6,5,14,2
02/28/06,Staten Island,8,0,1,6,1
02/28/06,Unknown,6,2,1,3,0
03/01/06,Bronx,74,7,12,48,7
03/01/06,Brooklyn,83,10,19,50,4
03/01/06,Manhattan,51,10,14,20,7
03/01/06,Queens,18,4,4,10,0
03/01/06,Staten Island,6,1,1,3,1
03/01/06,Unknown,2,0,0,2,0
03/02/06,Bronx,59,6,8,40,5
03/02/06,Brooklyn,72,12,10,47,3
03/02/06,Manhattan,41,9,7,21,4
03/02/06,Queens,23,3,4,14,2
03/02/06,Staten Island,6,0,1,4,1
03/02/06,Unknown,6,2,3,1,0
03/03/06,Bronx,80,15,19,37,9
03/03/06,Brooklyn,86,17,16,49,4
03/03/06,Manhattan,41,4,4,29,4
03/03/06,Queens,16,4,3,7,2
03/03/06,Staten Island,3,1,0,2,0
03/03/06,Unknown,3,0,0,3,0
03/04/06,Bronx,72,15,14,34,9
03/04/06,Brooklyn,74,15,11,45,3
03/04/06,Manhattan,44,6,7,30,1
03/04/06,Queens,18,5,4,9,0
03/04/06,Staten Island,2,1,0,1,0
03/04/06,Unknown,6,1,1,4,0
03/05/06,Bronx,68,17,17,29,5
03/05/06,Brooklyn,91,18,26,42,5
03/05/06,Manhattan,41,11,16,13,1
03/05/06,Queens,24,4,2,17,1
03/05/06,Staten Island,6,1,0,4,1
03/05/06,Unknown,12,5,1,5,1
03/06/06,Bronx,83,13,20,44,6
03/06/06,Brooklyn,102,14,30,56,2
03/06/06,Manhattan,53,5,17,25,6
03/06/06,Queens,28,3,5,16,4
03/06/06,Staten Island,6,1,2,1,2
03/06/06,Unknown,11,1,4,4,2
03/07/06,Bronx,76,12,24,32,8
03/07/06,Brooklyn,104,17,28,52,7
03/07/06,Manhattan,56,8,12,27,9
03/07/06,Queens,34,5,9,16,4
03/07/06,Staten Island,6,0,2,4,0
03/07/06,Unknown,3,0,0,3,0
03/08/06,Bronx,85,18,22,42,3
03/08/06,Brooklyn,101,15,21,58,7
03/08/06,Manhattan,44,9,11,22,2
03/08/06,Queens,29,8,6,13,2
03/08/06,Staten Island,4,0,1,2,1
03/08/06,Unknown,6,1,1,3,1
03/09/06,Bronx,72,11,15,40,6
03/09/06,Brooklyn,78,10,23,37,8
03/09/06,Manhattan,50,9,10,22,9
03/09/06,Queens,33,10,5,15,3
03/09/06,Staten Island,6,0,3,3,0
03/09/06,Unknown,3,0,0,3,0
03/10/06,Bronx,57,12,19,23,3
03/10/06,Brooklyn,68,17,8,39,4
03/10/06,Manhattan,34,7,6,20,1
03/10/06,Queens,25,5,5,13,2
03/10/06,Staten Island,6,0,2,2,2
03/10/06,Unknown,8,1,1,6,0
03/11/06,Bronx,65,12,22,28,3
03/11/06,Brooklyn,83,16,29,34,4
03/11/06,Manhattan,34,7,5,15,7
03/11/06,Queens,23,9,4,9,1
03/11/06,Staten Island,2,0,1,1,0
03/11/06,Unknown,5,0,1,4,0
03/12/06,Bronx,95,16,28,45,6
03/12/06,Brooklyn,90,14,29,44,3
03/12/06,Manhattan,43,9,11,19,4
03/12/06,Queens,25,7,7,10,1
03/12/06,Staten Island,7,1,1,4,1
03/12/06,Unknown,5,3,2,0,0
03/13/06,Bronx,114,18,38,48,10
03/13/06,Brooklyn,127,22,43,55,7
03/13/06,Manhattan,69,8,21,32,8
03/13/06,Queens,39,7,8,21,3
03/13/06,Staten Island,11,0,1,8,2
03/13/06,Unknown,3,0,1,1,1
03/14/06,Bronx,96,22,21,47,6
03/14/06,Brooklyn,111,23,37,46,5
03/14/06,Manhattan,47,9,13,24,1
03/14/06,Queens,30,7,7,11,5
03/14/06,Staten Island,6,1,3,1,1
03/14/06,Unknown,6,0,0,5,1
03/15/06,Bronx,70,12,15,35,8
03/15/06,Brooklyn,110,27,32,48,3
03/15/06,Manhattan,44,9,8,26,1
03/15/06,Queens,20,3,4,11,2
03/15/06,Staten Island,12,1,2,7,2
03/15/06,Unknown,4,1,2,0,1
03/16/06,Bronx,63,13,16,31,3
03/16/06,Brooklyn,90,26,20,37,7
03/16/06,Manhattan,44,8,10,23,3
03/16/06,Queens,25,5,5,11,4
03/16/06,Staten Island,9,0,2,6,1
03/16/06,Unknown,15,3,1,11,0
03/17/06,Bronx,66,14,9,36,7
03/17/06,Brooklyn,80,15,25,36,4
03/17/06,Manhattan,37,5,8,19,5
03/17/06,Queens,14,5,3,3,3
03/17/06,Staten Island,7,0,0,5,2
03/17/06,Unknown,5,1,2,2,0
03/18/06,Bronx,60,12,16,28,4
03/18/06,Brooklyn,68,17,17,32,2
03/18/06,Manhattan,35,6,9,20,0
03/18/06,Queens,20,5,5,8,2
03/18/06,Staten Island,5,2,0,1,2
03/18/06,Unknown,5,2,0,2,1
03/19/06,Bronx,73,14,19,33,7
03/19/06,Brooklyn,104,22,32,47,3
03/19/06,Manhattan,42,9,15,16,2
03/19/06,Queens,26,7,10,8,1
03/19/06,Staten Island,1,0,0,0,1
03/19/06,Unknown,6,1,4,1,0
03/20/06,Bronx,95,19,30,44,2
03/20/06,Brooklyn,132,32,36,60,4
03/20/06,Manhattan,56,6,23,24,3
03/20/06,Queens,28,5,9,11,3
03/20/06,Staten Island,11,2,3,4,2
03/20/06,Unknown,9,2,0,6,1
03/21/06,Bronx,86,17,27,33,9
03/21/06,Brooklyn,91,13,26,48,4
03/21/06,Manhattan,52,7,16,21,8
03/21/06,Queens,23,1,7,13,2
03/21/06,Staten Island,3,1,2,0,0
03/21/06,Unknown,9,3,1,4,1
03/22/06,Bronx,82,16,20,39,7
03/22/06,Brooklyn,104,20,35,44,5
03/22/06,Manhattan,49,6,15,26,2
03/22/06,Queens,30,9,5,12,4
03/22/06,Staten Island,7,0,4,2,1
03/22/06,Unknown,4,0,1,3,0
03/23/06,Bronx,76,18,23,30,5
03/23/06,Brooklyn,80,22,21,35,2
03/23/06,Manhattan,44,7,12,18,7
03/23/06,Queens,28,9,5,11,3
03/23/06,Staten Island,8,1,1,3,3
03/23/06,Unknown,7,1,2,4,0
03/24/06,Bronx,79,25,13,39,2
03/24/06,Brooklyn,80,11,26,37,6
03/24/06,Manhattan,46,10,14,18,4
03/24/06,Queens,20,1,5,11,3
03/24/06,Staten Island,8,0,3,4,1
03/24/06,Unknown,5,1,1,3,0
03/25/06,Bronx,57,13,16,26,2
03/25/06,Brooklyn,75,19,17,38,1
03/25/06,Manhattan,43,11,14,14,4
03/25/06,Queens,24,4,6,13,1
03/25/06,Staten Island,6,0,0,4,2
03/25/06,Unknown,6,1,2,3,0
03/26/06,Bronx,70,16,15,37,2
03/26/06,Brooklyn,73,19,21,32,1
03/26/06,Manhattan,42,9,7,24,2
03/26/06,Queens,26,1,8,16,1
03/26/06,Staten Island,6,0,1,4,1
03/26/06,Unknown,8,2,2,3,1
03/27/06,Bronx,84,14,19,42,9
03/27/06,Brooklyn,110,23,31,52,4
03/27/06,Manhattan,60,10,16,28,6
03/27/06,Queens,25,6,10,7,2
03/27/06,Staten Island,11,2,4,5,0
03/27/06,Unknown,14,0,4,10,0
03/28/06,Bronx,81,20,19,36,6
03/28/06,Brooklyn,109,22,32,49,6
03/28/06,Manhattan,59,11,17,28,3
03/28/06,Queens,26,5,9,9,3
03/28/06,Staten Island,5,0,0,3,2
03/28/06,Unknown,12,2,3,6,1
03/29/06,Bronx,90,24,14,45,7
03/29/06,Brooklyn,94,20,24,46,4
03/29/06,Manhattan,57,7,15,31,4
03/29/06,Queens,27,4,7,13,3
03/29/06,Staten Island,14,3,4,5,2
03/29/06,Unknown,7,0,3,4,0
03/30/06,Bronx,69,14,14,37,4
03/30/06,Brooklyn,83,26,12,40,5
03/30/06,Manhattan,43,7,11,22,3
03/30/06,Queens,30,4,9,11,6
03/30/06,Staten Island,5,1,1,1,2
03/30/06,Unknown,4,0,2,2,0
03/31/06,Bronx,59,13,16,25,5
03/31/06,Brooklyn,85,21,17,40,7
03/31/06,Manhattan,38,3,9,21,5
03/31/06,Queens,20,5,6,7,2
03/31/06,Staten Island,12,1,4,4,3
03/31/06,Unknown,7,1,1,5,0
04/01/06,Bronx,68,10,16,35,7
04/01/06,Brooklyn,79,24,15,36,4
04/01/06,Manhattan,53,11,7,27,8
04/01/06,Queens,26,7,5,9,5
04/01/06,Staten Island,4,1,0,2,1
04/01/06,Unknown,7,0,1,6,0
04/02/06,Bronx,71,15,21,31,4
04/02/06,Brooklyn,73,17,17,32,7
04/02/06,Manhattan,34,6,8,17,3
04/02/06,Queens,21,4,7,9,1
04/02/06,Staten Island,8,0,2,5,1
04/02/06,Unknown,6,1,3,2,0
04/03/06,Bronx,91,9,30,44,8
04/03/06,Brooklyn,111,28,31,47,5
04/03/06,Manhattan,53,10,11,28,4
04/03/06,Queens,38,5,6,20,7
04/03/06,Staten Island,12,3,2,6,1
04/03/06,Unknown,9,3,2,4,0
04/04/06,Bronx,87,14,17,52,4
04/04/06,Brooklyn,117,25,36,51,5
04/04/06,Manhattan,64,13,14,32,5
04/04/06,Queens,29,8,3,17,1
04/04/06,Staten Island,5,0,0,4,1
04/04/06,Unknown,7,3,1,3,0
04/05/06,Bronx,87,26,13,39,9
04/05/06,Brooklyn,102,16,21,55,10
04/05/06,Manhattan,38,8,9,19,2
04/05/06,Queens,32,4,10,14,4
04/05/06,Staten Island,9,0,0,7,2
04/05/06,Unknown,10,4,1,4,1
04/06/06,Bronx,71,15,19,32,5
04/06/06,Brooklyn,92,18,17,45,12
04/06/06,Manhattan,48,7,11,25,5
04/06/06,Queens,28,4,10,12,2
04/06/06,Staten Island,7,0,2,2,3
04/06/06,Unknown,8,1,2,4,1
04/07/06,Bronx,58,13,12,30,3
04/07/06,Brooklyn,86,30,20,35,1
04/07/06,Manhattan,40,8,7,22,3
04/07/06,Queens,21,1,7,11,2
04/07/06,Staten Island,8,2,2,3,1
04/07/06,Unknown,6,2,0,4,0
04/08/06,Bronx,69,25,7,35,2
04/08/06,Brooklyn,75,14,18,38,5
04/08/06,Manhattan,41,8,9,18,6
04/08/06,Queens,22,4,6,10,2
04/08/06,Staten Island,4,0,1,2,1
04/08/06,Unknown,4,0,1,3,0
04/09/06,Bronx,60,19,15,22,4
04/09/06,Brooklyn,103,18,33,49,3
04/09/06,Manhattan,47,12,7,26,2
04/09/06,Queens,24,4,3,15,2
04/09/06,Staten Island,6,1,2,2,1
04/09/06,Unknown,7,3,3,1,0
04/10/06,Bronx,81,13,16,46,6
04/10/06,Brooklyn,106,23,26,54,3
04/10/06,Manhattan,65,11,15,33,6
04/10/06,Queens,36,7,11,16,2
04/10/06,Staten Island,10,1,1,5,3
04/10/06,Unknown,10,3,3,3,1
04/11/06,Bronx,74,10,18,44,2
04/11/06,Brooklyn,86,22,16,46,2
04/11/06,Manhattan,39,8,15,15,1
04/11/06,Queens,26,4,11,6,4
04/11/06,Staten Island,5,1,1,3,0
04/11/06,Unknown,6,3,2,1,0
04/12/06,Bronx,71,15,16,38,2
04/12/06,Brooklyn,76,17,12,41,6
04/12/06,Manhattan,49,10,6,29,4
04/12/06,Queens,22,3,7,9,3
04/12/06,Staten Island,6,0,1,5,0
04/12/06,Unknown,10,0,3,6,1
04/13/06,Bronx,57,14,10,30,3
04/13/06,Brooklyn,83,11,19,47,6
04/13/06,Manhattan,38,10,11,16,1
04/13/06,Queens,18,6,4,7,1
04/13/06,Staten Island,4,1,0,2,1
04/13/06,Unknown,5,0,0,3,2
04/14/06,Bronx,76,19,14,35,8
04/14/06,Brooklyn,94,18,19,53,4
04/14/06,Manhattan,40,10,3,23,4
04/14/06,Queens,25,7,5,10,3
04/14/06,Staten Island,5,0,0,4,1
04/14/06,Unknown,5,1,1,2,1
04/15/06,Bronx,70,15,13,33,9
04/15/06,Brooklyn,83,19,19,39,6
04/15/06,Manhattan,40,12,9,13,6
04/15/06,Queens,14,0,2,10,2
04/15/06,Staten Island,2,2,0,0,0
04/15/06,Unknown,7,1,0,5,1
04/16/06,Bronx,57,13,14,25,5
04/16/06,Brooklyn,69,18,16,32,3
04/16/06,Manhattan,33,14,7,10,2
04/16/06,Queens,16,5,3,7,1
04/16/06,Staten Island,7,2,0,4,1
04/16/06,Unknown,6,6,0,0,0
04/17/06,Bronx,90,17,20,38,14
04/17/06,Brooklyn,94,21,20,48,5
